post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,66,12,4RH1T3CT0R,2026-04-09 10:20:15.168482,0.1791044776119403,False
47660853,Book review: There Is No Antimemetics Division,entertainment,279,225,ibobev,2026-04-09 10:20:16.309791,0.8035714285714286,True
47683613,ICE acknowledges it is using powerful spyware,worldnews,67,8,dnemmers,2026-04-09 10:20:17.444783,0.11764705882352941,False
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 10:20:20.731694,0.11891891891891893,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,320,201,nevernothing,2026-04-09 10:20:28.714634,0.6261682242990654,True
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,55,0,tosh,2026-04-09 10:20:32.544567,0.0,False
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09 10:20:33.505973,0.0,False
47637377,LÖVE: 2D Game Framework for Lua,sports,414,215,cl3misch,2026-04-09 10:20:34.485389,0.5180722891566265,True
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,29,11,brene,2026-04-09 10:20:44.249254,0.36666666666666664,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,976,620,zaikunzhang,2026-04-09 10:20:52.018769,0.6345957011258956,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,100,28,mohshomis,2026-04-09 10:20:55.646045,0.27722772277227725,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,65,salt4034,2026-04-09 10:21:09.562667,0.5555555555555556,False
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 10:21:22.711062,0.0,False
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09 10:21:34.882741,0.2,False
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 10:21:48.465913,0.23529411764705882,False
47691869,Façade (2005 Video Game),sports,5,0,jjmarr,2026-04-09 10:22:36.110876,0.0,False
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 10:23:11.494527,0.3,False
